Ticker,NumShares,Price,Value
PL,1150.0,2.18,2507.0
TSLA,7.0,251.12,1757.8400000000001
IWB,5.116,236.85,1211.7245999999998
PRBLX,22.673,52.81,1197.36113
AMZN,8.0,129.79,1038.32
ABNB,7.0,124.08,868.56
WILNX,45.155,17.23,778.02065
VTV,5.202,137.31,714.28662
IWR,10.245,68.4,700.758
SPIR,125.0,3.75,468.75
WGROX,5.987,71.66,429.02842
TTWO,3.0,142.83,428.49
F,22.279,11.81,263.11499000000003
FVRR,10.0,24.05,240.5
LMND,19.0,12.52,237.88
RIVN,8.0,19.3,154.4
GOOGL,1.0,137.36,137.36
PLUG,15.0,7.34,110.1
LCID,13.0,5.16,67.08
CENN,105.0,0.2189,22.9845
